"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,1.37772764904078E-16,-1.94855715851499,1.94855715851502
1,-0.141278668940956,-1.87407279159771,2.01535146053866
2,-0.281999775519684,-1.79219231555444,2.07419209107408
3,-0.421607957817882,-1.70323887521644,2.12484683303433
4,-0.559552246120926,-1.60756352917381,2.16711577529469
5,-0.695288237343634,-1.50554386430744,2.20083210165104
6,-0.828280243540518,-1.3975825056262,2.22586274916677
7,-0.958003406021413,-1.28410552728996,2.24210893331138
8,-1.08394576672885,-1.16556077108955,2.24950653781842
9,-1.20561028870275,-1.04241607901969,2.24802636772244
10,-1.32251681765806,-0.915157446920559,2.23767426457863
11,-1.43420397693455,-0.784287106474083,2.21849108340863
12,-1.54023098833956,-0.650321543125066,2.19055253146462
13,-1.64017941169819,-0.513789457748973,2.1539688694471
14,-1.73365479624554,-0.375229680111231,2.10888447635674
15,-1.82028823734364,-0.235189042352218,2.05547727969586
16,-1.89973783237953,-0.0942202208906981,1.99395805327024
17,-1.97169003009869,0.0471204447375538,1.92456958536117
18,-2.03586086804855,0.188275147497709,1.84758572055086
19,-2.09199709324857,0.328686814265425,1.76331027898317
20,-2.1398771616641,0.467801304339959,1.67207585732409
21,-2.1793121125394,0.605069596384353,1.57424251615505
22,-2.21014631413954,0.739949955161816,1.47019635897774
23,-2.23225807795758,0.871910069517229,1.36034800844035
24,-2.2455601389636,1.00042915316609,1.24513098579751
25,-2.25000000000002,1.125,1.125
26,-2.2455601389636,1.24513098579752,1.00042915316608
27,-2.23225807795758,1.36034800844035,0.871910069517243
28,-2.21014631413954,1.47019635897774,0.739949955161822
29,-2.1793121125394,1.57424251615508,0.605069596384333
30,-2.1398771616641,1.67207585732413,0.467801304339962
31,-2.09199709324857,1.76331027898316,0.328686814265425
32,-2.03586086804855,1.84758572055084,0.188275147497707
33,-1.97169003009869,1.92456958536112,0.0471204447375513
34,-1.89973783237953,1.99395805327024,-0.0942202208907014
35,-1.82028823734364,2.05547727969585,-0.235189042352218
36,-1.73365479624553,2.10888447635674,-0.375229680111233
37,-1.64017941169819,2.15396886944716,-0.513789457748987
38,-1.54023098833955,2.19055253146461,-0.650321543125064
39,-1.43420397693455,2.21849108340864,-0.784287106474097
40,-1.32251681765806,2.23767426457862,-0.915157446920542
41,-1.20561028870274,2.24802636772242,-1.04241607901968
42,-1.08394576672885,2.24950653781842,-1.16556077108953
43,-0.958003406021409,2.24210893331138,-1.28410552728997
44,-0.828280243540516,2.22586274916675,-1.39758250562621
45,-0.695288237343632,2.20083210165108,-1.50554386430744
46,-0.559552246120923,2.16711577529471,-1.60756352917381
47,-0.421607957817876,2.12484683303434,-1.70323887521646
48,-0.28199977551968,2.07419209107413,-1.79219231555446
49,-0.14127866894095,2.01535146053868,-1.87407279159767
50,3.5834845939383E-15,1.94855715851499,-1.94855715851502
51,0.141278668940961,1.87407279159771,-2.01535146053866
52,0.28199977551969,1.79219231555444,-2.07419209107408
53,0.421607957817886,1.70323887521644,-2.12484683303433
54,0.55955224612093,1.6075635291738,-2.16711577529469
55,0.695288237343638,1.50554386430743,-2.20083210165104
56,0.828280243540524,1.39758250562619,-2.22586274916677
57,0.958003406021417,1.28410552728996,-2.24210893331138
58,1.08394576672886,1.16556077108954,-2.24950653781842
59,1.20561028870275,1.04241607901969,-2.24802636772244
60,1.32251681765807,0.915157446920551,-2.23767426457863
61,1.43420397693455,0.784287106474077,-2.21849108340863
62,1.54023098833956,0.650321543125064,-2.19055253146462
