"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,-1.948557158515,-1.94855715851499,0
1,-2.01535146053867,-2.01535146053868,0
2,-2.07419209107412,-2.07419209107413,0
3,-2.12484683303434,-2.12484683303434,0
4,-2.16711577529472,-2.16711577529471,0
5,-2.20083210165107,-2.20083210165108,0
6,-2.22586274916674,-2.22586274916675,0
7,-2.24210893331137,-2.24210893331138,0
8,-2.2495065378184,-2.24950653781842,0
9,-2.24802636772243,-2.24802636772242,0
10,-2.23767426457861,-2.23767426457861,0
11,-2.21849108340864,-2.21849108340864,0
12,-2.1905525314646,-2.19055253146461,0
13,-2.15396886944717,-2.15396886944716,0
14,-2.10888447635676,-2.10888447635674,0
15,-2.05547727969586,-2.05547727969585,0
16,-1.99395805327023,-1.99395805327024,0
17,-1.92456958536114,-1.92456958536112,0
18,-1.84758572055083,-1.84758572055084,0
19,-1.76331027898313,-1.76331027898315,0
20,-1.67207585732414,-1.67207585732413,0
21,-1.57424251615507,-1.57424251615507,0
22,-1.47019635897773,-1.47019635897774,0
23,-1.36034800844034,-1.36034800844035,0
24,-1.24513098579752,-1.24513098579752,0
25,-1.12500000000001,-1.12499999999999,0
26,-1.00042915316609,-1.00042915316609,0
27,-0.871910069517229,-0.871910069517227,0
28,-0.73994995516181,-0.739949955161812,0
29,-0.60506959638435,-0.60506959638435,0
30,-0.467801304339959,-0.467801304339958,0
31,-0.328686814265425,-0.328686814265422,0
32,-0.188275147497705,-0.188275147497707,0
33,-0.0471204447375507,-0.0471204447375506,0
34,0.0942202208907006,0.0942202208907007,0
35,0.235189042352223,0.23518904235222,0
36,0.375229680111233,0.375229680111232,0
37,0.51378945774898,0.513789457748976,0
38,0.650321543125062,0.650321543125068,0
39,0.784287106474087,0.784287106474083,0
40,0.915157446920555,0.915157446920561,0
41,1.04241607901969,1.0424160790197,0
42,1.16556077108954,1.16556077108955,0
43,1.28410552728997,1.28410552728996,0
44,1.39758250562621,1.3975825056262,0
45,1.50554386430743,1.50554386430744,0
46,1.60756352917381,1.60756352917381,0
47,1.70323887521646,1.70323887521644,0
48,1.79219231555444,1.79219231555444,0
49,1.87407279159774,1.87407279159772,0
50,1.948557158515,1.948557158515,0
51,2.01535146053867,2.01535146053868,0
52,2.07419209107412,2.07419209107413,0
53,2.12484683303434,2.12484683303434,0
54,2.16711577529472,2.16711577529471,0
55,2.20083210165107,2.20083210165108,0
56,2.22586274916674,2.22586274916675,0
57,2.24210893331137,2.24210893331138,0
58,2.2495065378184,2.24950653781842,0
59,2.24802636772243,2.24802636772242,0
60,2.23767426457861,2.23767426457861,0
61,2.21849108340864,2.21849108340864,0
62,2.1905525314646,2.19055253146461,0
63,2.15396886944716,2.15396886944715,0
64,2.10888447635676,2.10888447635674,0
65,2.05547727969586,2.05547727969585,0
66,1.99395805327023,1.99395805327023,0
67,1.92456958536113,1.92456958536112,0
68,1.84758572055083,1.84758572055084,0
69,1.76331027898313,1.76331027898315,0
70,1.67207585732413,1.67207585732413,0
71,1.57424251615507,1.57424251615507,0
72.0000000000001,1.47019635897773,1.47019635897773,0
73.0000000000001,1.36034800844034,1.36034800844034,0
74.0000000000001,1.24513098579752,1.24513098579752,0
75.0000000000001,1.12500000000001,1.12499999999999,0
76.0000000000001,1.00042915316608,1.00042915316608,0
77.0000000000001,0.871910069517224,0.871910069517218,0
78.0000000000001,0.739949955161806,0.739949955161807,0
79.0000000000001,0.605069596384343,0.605069596384342,0
80.0000000000001,0.467801304339953,0.467801304339953,0
81.0000000000001,0.32868681426542,0.328686814265417,0
82.0000000000001,0.188275147497702,0.188275147497703,0
83.0000000000001,0.0471204447375468,0.0471204447375468,0
84.0000000000001,-0.0942202208907062,-0.0942202208907068,0
85.0000000000001,-0.23518904235223,-0.235189042352228,0
86.0000000000001,-0.375229680111238,-0.375229680111237,0
87.0000000000001,-0.513789457748983,-0.513789457748981,0
88.0000000000001,-0.650321543125071,-0.650321543125073,0
89.0000000000001,-0.784287106474096,-0.78428710647409,0
90.0000000000001,-0.915157446920561,-0.915157446920567,0
91.0000000000001,-1.0424160790197,-1.0424160790197,0
92.0000000000001,-1.16556077108954,-1.16556077108955,0
93.0000000000001,-1.28410552728997,-1.28410552728997,0
94.0000000000001,-1.39758250562621,-1.3975825056262,0
95.0000000000001,-1.50554386430743,-1.50554386430744,0
96.0000000000001,-1.60756352917381,-1.60756352917381,0
97.0000000000001,-1.70323887521647,-1.70323887521645,0
98.0000000000001,-1.79219231555444,-1.79219231555445,0
99.0000000000001,-1.87407279159774,-1.87407279159772,0
100,-1.948557158515,-1.948557158515,0
