"Time [ms]","force_virtual.Force_x [newton]","force_virtual.Force_y [newton]"
0,-1.59866247889646,0.551464784893706
1,-1.54874547279537,0.620388599903569
2,-1.4853359867014,0.698235529797699
3,-1.40806979829042,0.775080797541943
4,-1.3155495075452,0.841049302791322
5,-1.20701899050558,0.89553530790238
6,-1.08605141389379,0.915430607564528
7,-0.952032312460614,0.936882191557244
8,-0.811140005074889,0.931642114491012
9,-0.664875843942061,0.921351641506978
10,-0.524153390762801,0.856742680639214
11,-0.389144153124309,0.787526098683465
12,-0.269741806357712,0.682974330547365
13,-0.169844225419759,0.558556304944644
14,-0.0904490050325286,0.418788109124549
15,-0.0359196140941549,0.266908376995073
16,-0.00578470264433642,0.108355490499766
17,-0.00168170932174759,-0.0532455805221348
18,-0.0223961784772562,-0.214433145618691
19,-0.0705405900522433,-0.405702688259499
20,-0.146816697249173,-0.522718584732102
21,-0.239377304505361,-0.653856565699091
22,-0.35771745215045,-0.799510315001598
23,-0.483140717438894,-0.853464346017144
24,-0.62333449108059,-0.906999411762835
25,-0.769019696436132,-0.945587152818019
26,-0.912102376338706,-0.958401609212162
27,-1.05053309833109,-0.946304555521378
28,-1.17753771373369,-0.915275651653663
29,-1.29109877451709,-0.867976484944561
30,-1.39152812893834,-0.80674989865896
31,-1.47470165962343,-0.738541963931382
32,-1.54168376559255,-0.664555013909993
33,-1.59593222887023,-0.592740982886013
34,-1.63820908757654,-0.517177607606583
35,-1.67218408897347,-0.449835896697168
36,-1.69847433141464,-0.37746511268159
37,-1.72116976427442,-0.308975323093136
38,-1.73594207254017,-0.243799390353622
39,-1.74886630284179,-0.178891155574134
40,-1.75732431496523,-0.114674791747857
41,-1.75605396611552,-0.0806098849703281
42,-1.76070400571194,0.0120254215264158
43,-1.759053123852,0.0721881513228981
44,-1.75311135808371,0.106625570767335
45,-1.74045313281343,0.204421723195981
46,-1.72652078081301,0.270753133591819
47,-1.70691486175894,0.337077769344386
48,-1.6816410977681,0.406603144070841
49,-1.65007453957364,0.476493632447101
50,-1.61146243001053,0.552267658339297
51,-1.56047754133049,0.626831462958543
52,-1.49721214104369,0.70199489018126
53,-1.42017181847038,0.759714324803019
54,-1.32633196929616,0.837549023084335
55,-1.21628421960533,0.880595843987318
56,-1.09800120928012,0.897245404612517
57,-0.960688594582244,0.952991438422
58,-0.816641202930249,0.95040902551786
59,-0.673171764736265,0.921807879805274
60,-0.528598425509254,0.86785578113059
61,-0.395104952043547,0.786762727300458
62,-0.275457307778714,0.679192838571836
63,-0.173130934705407,0.558529549946536
64,-0.093686337456417,0.418534693269666
65,-0.0403474727358291,0.238452059152554
66,-0.00525277895586476,0.10099040552907
67,-0.000487326659919482,-0.0809989292139398
68,-0.0210503144925122,-0.216172540750255
69,-0.0700045035532217,-0.372415556759221
70,-0.137187219813646,-0.515528652394886
71,-0.230623910318997,-0.646332714133665
72.0000000000001,-0.348142544456894,-0.7542207479104
73.0000000000001,-0.47704431627536,-0.843812427827756
74.0000000000001,-0.617435727565285,-0.91422985587238
75.0000000000001,-0.761055535946174,-0.948845710206691
76.0000000000001,-0.906575605663445,-0.985870197673045
77.0000000000001,-1.04261948609358,-0.984065750134972
78.0000000000001,-1.16761459036348,-0.924946414912539
79.0000000000001,-1.28195522405563,-0.869372495950942
80.0000000000001,-1.3803146781437,-0.808848313659904
81.0000000000001,-1.46307032322983,-0.742379075943252
82.0000000000001,-1.53007387386237,-0.665464210515312
83.0000000000001,-1.58313605963499,-0.591531323993321
84.0000000000001,-1.62528214223561,-0.518462279850244
85.0000000000001,-1.65922599755386,-0.447118550598554
86.0000000000001,-1.6872772428732,-0.406757048099702
87.0000000000001,-1.70658907496061,-0.310880806946817
88.0000000000001,-1.72592360814418,-0.261034330868637
89.0000000000001,-1.73246884628701,-0.181803008087322
90.0000000000001,-1.74199057657099,-0.116617164613262
91.0000000000001,-1.7396327661703,-0.069121786569423
92.0000000000001,-1.74634240439636,0.00954002958423735
93.0000000000001,-1.7439289227235,0.074113447124822
94.0000000000001,-1.73579848100647,0.120638365461231
95.0000000000001,-1.72613652648126,0.202424409337866
96.0000000000001,-1.71168887582794,0.268254851352566
97.0000000000001,-1.69277666795436,0.33565090514701
98.0000000000001,-1.66800664657913,0.404521052369526
99.0000000000001,-1.63595620377615,0.466648487154181
100,-1.59765669537317,0.548125338198852
