"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,-1.948557158515,0,-1.94855715851502
1,-1.87407279159774,0,-1.87407279159767
2,-1.79219231555444,0,-1.79219231555446
3,-1.70323887521646,0,-1.70323887521646
4,-1.60756352917381,0,-1.60756352917381
5,-1.50554386430743,0,-1.50554386430744
6,-1.3975825056262,0,-1.39758250562621
7,-1.28410552728997,0,-1.28410552728997
8,-1.16556077108954,0,-1.16556077108953
9,-1.04241607901969,0,-1.04241607901967
10,-0.915157446920552,0,-0.915157446920542
11,-0.784287106474087,0,-0.784287106474097
12,-0.650321543125059,0,-0.650321543125063
13,-0.513789457748976,0,-0.513789457748984
14,-0.375229680111231,0,-0.375229680111231
15,-0.235189042352222,0,-0.235189042352217
16,-0.0942202208906976,0,-0.0942202208906986
17,0.047120444737554,0,0.0471204447375541
18,0.188275147497709,0,0.188275147497709
19,0.328686814265427,0,0.328686814265427
20,0.46780130433996,0,0.467801304339963
21,0.605069596384352,0,0.605069596384334
22,0.739949955161813,0,0.739949955161824
23,0.871910069517231,0,0.871910069517245
24,1.00042915316609,0,1.00042915316608
25,1.12500000000001,0,1.125
26,1.24513098579752,0,1.24513098579751
27,1.36034800844034,0,1.36034800844035
28,1.47019635897774,0,1.47019635897774
29,1.57424251615507,0,1.57424251615505
30,1.67207585732414,0,1.6720758573241
31,1.76331027898314,0,1.76331027898317
32,1.84758572055083,0,1.84758572055086
33,1.92456958536114,0,1.92456958536117
34,1.99395805327024,0,1.99395805327024
35,2.05547727969586,0,2.05547727969586
36,2.10888447635676,0,2.10888447635673
37,2.15396886944717,0,2.1539688694471
38,2.1905525314646,0,2.19055253146462
39,2.21849108340864,0,2.21849108340863
40,2.23767426457861,0,2.23767426457863
41,2.24802636772243,0,2.24802636772244
42,2.2495065378184,0,2.24950653781842
43,2.24210893331137,0,2.24210893331138
44,2.22586274916674,0,2.22586274916677
45,2.20083210165107,0,2.20083210165103
46,2.16711577529472,0,2.16711577529469
47,2.12484683303434,0,2.12484683303434
48,2.07419209107412,0,2.07419209107408
49,2.01535146053867,0,2.01535146053866
50,1.948557158515,0,1.94855715851502
51,1.87407279159773,0,1.87407279159767
52,1.79219231555443,0,1.79219231555446
53,1.70323887521646,0,1.70323887521646
54,1.60756352917381,0,1.60756352917381
55,1.50554386430742,0,1.50554386430744
56,1.3975825056262,0,1.39758250562621
57,1.28410552728996,0,1.28410552728997
58,1.16556077108953,0,1.16556077108953
59,1.04241607901968,0,1.04241607901967
60,0.915157446920548,0,0.915157446920538
61,0.784287106474084,0,0.784287106474088
62,0.650321543125056,0,0.650321543125054
63,0.513789457748972,0,0.51378945774898
64,0.375229680111225,0,0.375229680111217
65,0.235189042352217,0,0.235189042352213
66,0.0942202208906944,0,0.0942202208906954
67,-0.0471204447375577,0,-0.047120444737557
68,-0.188275147497713,0,-0.188275147497712
69,-0.328686814265435,0,-0.328686814265432
70,-0.467801304339966,0,-0.467801304339967
71,-0.605069596384358,0,-0.605069596384337
72.0000000000001,-0.739949955161816,0,-0.739949955161826
73.0000000000001,-0.871910069517239,0,-0.871910069517248
74.0000000000001,-1.0004291531661,0,-1.00042915316608
75.0000000000001,-1.12500000000002,0,-1.125
76.0000000000001,-1.24513098579753,0,-1.24513098579751
77.0000000000001,-1.36034800844035,0,-1.36034800844036
78.0000000000001,-1.47019635897774,0,-1.47019635897775
79.0000000000001,-1.57424251615508,0,-1.57424251615505
80.0000000000001,-1.67207585732414,0,-1.6720758573241
81.0000000000001,-1.76331027898314,0,-1.76331027898317
82.0000000000001,-1.84758572055084,0,-1.84758572055086
83.0000000000001,-1.92456958536114,0,-1.92456958536117
84.0000000000001,-1.99395805327024,0,-1.99395805327024
85.0000000000001,-2.05547727969586,0,-2.05547727969586
86.0000000000001,-2.10888447635676,0,-2.10888447635673
87.0000000000001,-2.15396886944717,0,-2.1539688694471
88.0000000000001,-2.1905525314646,0,-2.19055253146462
89.0000000000001,-2.21849108340864,0,-2.21849108340863
90.0000000000001,-2.23767426457862,0,-2.23767426457863
91.0000000000001,-2.24802636772243,0,-2.24802636772244
92.0000000000001,-2.2495065378184,0,-2.24950653781842
93.0000000000001,-2.24210893331137,0,-2.24210893331138
94.0000000000001,-2.22586274916674,0,-2.22586274916677
95.0000000000001,-2.20083210165106,0,-2.20083210165103
96.0000000000001,-2.16711577529472,0,-2.16711577529469
97.0000000000001,-2.12484683303434,0,-2.12484683303433
98.0000000000001,-2.07419209107412,0,-2.07419209107408
99.0000000000001,-2.01535146053867,0,-2.01535146053866
100,-1.948557158515,0,-1.94855715851502
