"Time [ms]","force_virtual.Force_x [newton]","force_virtual.Force_y [newton]"
0,-6.83414719738811E-06,-0.000584740656331178
1,0.00639956396833884,0.114866714082672
2,0.0246761520989258,0.238866722581183
3,0.0540074597008378,0.36420337261981
4,0.0954289003212374,0.484517748194116
5,0.151110804948704,0.602068290838761
6,0.220055799892451,0.695601848698646
7,0.305400737229345,0.803004527622213
8,0.403723734028212,0.89705460212927
9,0.517094596857937,0.998795068883168
10,0.639095505002306,1.05986076361792
11,0.77374271149293,1.12662938016143
12,0.914598795179246,1.16513884796408
13,1.05967407524728,1.18618150938746
14,1.20888264416531,1.19012942689226
15,1.35820323079314,1.17600687593733
16,1.508744333612,1.14469160760381
17,1.65805168846578,1.09408463261204
18,1.80489149704601,1.02201862231186
19,1.94266948497768,0.892917896886742
20,2.06587401352686,0.807448278510347
21,2.18111409906612,0.673507183925578
22,2.27173959829984,0.487404251924508
23,2.34889451126824,0.355850397056736
24,2.39563913264779,0.185222727069571
25,2.41148799325266,-0.00337502492017976
26,2.39650419457236,-0.192123538228044
27,2.3495957084619,-0.371799861574501
28,2.27771404273101,-0.53990487930549
29,2.18352599853157,-0.69239483451147
30,2.06913265943993,-0.824909354114209
31,1.9414932741761,-0.939028792018122
32,1.80354420528028,-1.03025972033732
33,1.65771219078087,-1.10337222345861
34,1.50931019471748,-1.15096756868098
35,1.35861353126471,-1.18589221775986
36,1.20949445683513,-1.1950044464675
37,1.05945946981752,-1.18931927594767
38,0.914889201400274,-1.16752506281257
39,0.773414169963879,-1.12749156501856
40,0.640079964308874,-1.07083055071881
41,0.522368667004258,-1.02941522954227
42,0.406375441428342,-0.914997290455139
43,0.305719130852722,-0.822014431028485
44,0.219561158462735,-0.745625122813552
45,0.151102352549549,-0.599946365246286
46,0.0943011470695376,-0.482272648284068
47,0.0525886716516609,-0.36347582796844
48,0.0238058018533314,-0.242332084233459
49,0.00681373684537404,-0.122438306104365
50,5.74942444501874E-05,0.00130014231788588
51,0.00648666786698708,0.122055314832744
52,0.023563728285061,0.243241645083832
53,0.0515336619278152,0.349689727797639
54,0.093153539591945,0.481412951262301
55,0.149252850151266,0.587348554970349
56,0.214268966128381,0.677870912483308
57,0.301683741261089,0.819075952087324
58,0.402088965864079,0.915149355270833
59,0.511517584150604,0.998769480870744
60,0.636150772729807,1.07014722706958
61,0.768091744547605,1.12515748236933
62,0.908062948583453,1.16053128609666
63,1.0543934636188,1.18537736256689
64,1.2024476488538,1.18899147270619
65,1.34941643094388,1.14607686707256
66,1.50386836736178,1.13630226866237
67,1.65269833807609,1.0646761117324
68,1.79863645501226,1.01937782963347
69,1.93457383767377,0.925698510818653
70,2.06600521832476,0.813818329242514
71,2.17923239617589,0.680231079952154
72.0000000000001,2.27002298499148,0.532473319196978
73.0000000000001,2.34296590463222,0.364382326059593
74.0000000000001,2.38865826187318,0.178116813782214
75.0000000000001,2.40546837918572,-0.00692923774909271
76.0000000000001,2.38694837926779,-0.218726266893207
77.0000000000001,2.34180206179622,-0.408051334567784
78.0000000000001,2.27139596482724,-0.550609328321628
79.0000000000001,2.17597999678414,-0.693920381602111
80.0000000000001,2.06301875567432,-0.827133331656733
81.0000000000001,1.93517051271559,-0.942763266144571
82.0000000000001,1.79725524528252,-1.03024604260234
83.0000000000001,1.65225992630636,-1.10130363823618
84.0000000000001,1.50336200829511,-1.15133803625127
85.0000000000001,1.35281073189073,-1.18166033735525
86.0000000000001,1.20152589965166,-1.22173627226428
87.0000000000001,1.05479798807495,-1.18979977250768
88.0000000000001,0.906074659835687,-1.18257917266972
89.0000000000001,0.770827528538439,-1.12854514366927
90.0000000000001,0.636522986586819,-1.07083516580456
91.0000000000001,0.520392187039768,-1.01576317441052
92.0000000000001,0.40242526549998,-0.915228960207242
93.0000000000001,0.303003497697118,-0.817954920450754
94.0000000000001,0.219387479698319,-0.728899519574165
95.0000000000001,0.148458440698867,-0.599558867990716
96.0000000000001,0.0926738989564828,-0.482299809263741
97.0000000000001,0.0508692678829573,-0.36260102769872
98.0000000000001,0.022311095965486,-0.241873094226923
99.0000000000001,0.00654244494160372,-0.129277902448742
100,0.000269451108548963,-0.000229064171401594
