"Time [ms]","force_virtual.Force_x [newton]","force_virtual.Force_y [newton]"
0,3.21111759811784,-0.0102878076405889
1,3.20483541589644,0.192099109376642
2,3.18590564013954,0.393680223249834
3,3.15440331884162,0.593660407021272
4,3.11045310703465,0.791250899269931
5,3.0542287694829,0.985672409608429
6,2.98595248997839,1.17615818616344
7,2.90589398986985,1.3619570330626
8,2.81436945940155,1.54233626615673
9,2.71174030613696,1.71658459545919
10,2.59841172546164,1.88401492306987
11,2.47483109885261,2.04396704567129
12,2.34148622630058,2.19581025110887
13,2.19890339985773,2.33894579890354
14,2.04764532596238,2.47280927509383
15,1.88830890473834,2.59687281219325
16,1.72152287503425,2.7106471656567
17,1.54794533448278,2.8136836387535
18,1.36826114435116,2.90557584833861
19,1.18317922938571,2.9859613246487
20,0.993429783269006,3.05452293885566
21,0.799761390663997,3.11099015279761
22,0.60293807715165,3.15514008599849
23,0.403736298613035,3.18679839574058
24,0.202941881905614,3.20583996674571
25,0.00134692878508183,3.21218940769797
26,-0.200253304761014,3.20582135260816
27,-0.401063541549281,3.18676056577527
28,-0.600291616324201,3.15508184984841
29,-0.797151596697597,3.11090975725877
30,-0.990866879660054,3.05441810607011
31,-1.1806732515347,2.98582930201999
32,-1.3658218993765,2.90541346931787
33,-1.54558236199225,2.81348739349495
34,-1.71924540902085,2.710413280324
35,-1.88612583675112,2.5965973355718
36,-2.04556516970737,2.47248817105677
37,-2.19693425737208,2.33857504313056
38,-2.33963575583902,2.19538593041317
39,-2.4731064846092,2.04348545823526
40,-2.59681964925857,1.88347267783369
41,-2.71028692118174,1.71597870895976
42,-2.81306036621081,1.54166425509498
43,-2.90473421447356,1.361217000982
44,-2.98494646445967,1.1753489026677
45,-3.05338031492167,0.984793380675508
46,-3.10976541895975,0.79030242737472
47,-3.15387895520363,0.592643639883262
48,-3.18554651183722,0.392597190233133
49,-3.20464277990649,0.190952744770463
50,-3.21109205308466,-0.0114936550534914
51,-3.20486853184722,-0.213942738124971
52,-3.18599643076671,-0.415595162872589
53,-3.15454988841861,-0.615654677707269
54,-3.11065268016651,-0.813331270104519
55,-3.05447773488161,-1.00784429182671
56,-2.98624645740985,-1.19842554781003
57,-2.90622785939169,-1.3843223364125
58,-2.81473750179764,-1.56480042888309
59,-2.71213625326707,-1.73914697616428
60,-2.59882886910978,-1.90667333139811
61,-2.47526239652692,-2.06671777685808
62,-2.34192441229058,-2.21864814440144
63,-2.19934109982169,-2.36186431895544
64,-2.04807517322399,-2.49580061502523
65,-1.88872365646361,-2.61992801671368
66,-1.72191552645313,-2.73375627229674
67,-1.54830922935739,-2.83683583497571
68,-1.36859007995239,-2.9287596420606
69,-1.18346755430995,-3.00916472547504
70,-0.993672486565306,-3.07773364717755
71,-0.799954180862814,-3.13419575376632
72.0000000000001,-0.60307744993519,-3.17832824530786
73.0000000000001,-0.403819592090981,-3.2099570541513
74.0000000000001,-0.202967318587487,-3.22895753026403
75.0000000000001,-0.0013136436162273,-3.23525493042087
76.0000000000001,0.200345250759053,-3.22882470934565
77.0000000000001,0.401213162237365,-3.20969261173054
78.0000000000001,0.600497016000197,-3.1779345648359
79.0000000000001,0.797409999989969,-3.13367637218981
80.0000000000001,0.991174675298542,-3.07709320970027
81.0000000000001,1.1810260493029,-3.00840892629279
82.0000000000001,1.36621459934249,-2.92789515194369
83.0000000000001,1.54600923494322,-2.83587021677769
84.0000000000001,1.71970018681355,-2.73269788563899
85.0000000000001,1.88660181116358,-2.6187859132513
86.0000000000001,2.04605529823017,-2.49458442584382
87.0000000000001,2.19743127427712,-2.3605841357542
88.0000000000001,2.34013228676006,-2.21731439620586
89.0000000000001,2.47359516284421,-2.06534110406099
90.0000000000001,2.59729323194178,-1.90526445897389
91.0000000000001,2.71073840351468,-1.73771658788242
92.0000000000001,2.81348309193026,-1.56335904433981
93.0000000000001,2.9051219808248,-1.38288019264438
94.0000000000001,2.98529362001668,-1.19699248715441
95.0000000000001,3.05368184872904,-1.00642965761914
96.0000000000001,3.11001703954838,-0.811943811650569
97.0000000000001,3.15407715826217,-0.614302465820833
98.0000000000001,3.18568863549021,-0.414285517098825
99.0000000000001,3.20472704669259,-0.212682166581391
100,3.21111759797604,-0.0102878076239328
