"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,-1.948557158515,-1.94855715851502,0
1,-2.01535146053866,-2.0153514605387,0
2,-2.07419209107414,-2.07419209107414,0
3,-2.1248468330343,-2.12484683303435,0
4,-2.16711577529474,-2.16711577529474,0
5,-2.20083210165107,-2.20083210165106,0
6,-2.22586274916673,-2.22586274916673,0
7,-2.24210893331141,-2.2421089333114,0
8,-2.24950653781841,-2.2495065378184,0
9,-2.24802636772243,-2.24802636772245,0
10,-2.23767426457862,-2.23767426457862,0
11,-2.21849108340864,-2.21849108340862,0
12,-2.19055253146458,-2.19055253146462,0
13,-2.15396886944718,-2.15396886944718,0
14,-2.10888447635674,-2.10888447635677,0
15,-2.05547727969585,-2.05547727969586,0
16,-1.9939580532702,-1.99395805327024,0
17,-1.92456958536115,-1.92456958536114,0
18,-1.84758572055084,-1.84758572055085,0
19,-1.76331027898315,-1.76331027898314,0
20,-1.67207585732414,-1.67207585732414,0
21,-1.57424251615508,-1.57424251615507,0
22,-1.47019635897773,-1.47019635897775,0
23,-1.36034800844035,-1.36034800844034,0
24,-1.24513098579753,-1.24513098579754,0
25,-1.12500000000001,-1.12499999999999,0
26,-1.00042915316609,-1.00042915316609,0
27,-0.871910069517228,-0.871910069517224,0
28,-0.739949955161811,-0.739949955161809,0
29,-0.605069596384339,-0.605069596384347,0
30,-0.467801304339961,-0.467801304339958,0
31,-0.328686814265423,-0.328686814265427,0
32,-0.188275147497706,-0.188275147497706,0
33,-0.0471204447375507,-0.0471204447375505,0
34,0.0942202208907011,0.0942202208907001,0
35,0.235189042352223,0.235189042352223,0
36,0.37522968011123,0.375229680111233,0
37,0.513789457748983,0.513789457748982,0
38,0.650321543125064,0.650321543125064,0
39,0.784287106474091,0.784287106474081,0
40,0.915157446920557,0.915157446920563,0
41,1.04241607901968,1.04241607901969,0
42,1.16556077108955,1.16556077108955,0
43,1.28410552728997,1.28410552728998,0
44,1.39758250562621,1.3975825056262,0
45,1.50554386430744,1.50554386430745,0
46,1.6075635291738,1.60756352917381,0
47,1.70323887521645,1.70323887521646,0
48,1.79219231555443,1.79219231555443,0
49,1.87407279159772,1.87407279159773,0
50,1.948557158515,1.94855715851502,0
51,2.01535146053866,2.0153514605387,0
52,2.07419209107415,2.07419209107414,0
53,2.12484683303431,2.12484683303435,0
54,2.16711577529474,2.16711577529474,0
55,2.20083210165107,2.20083210165106,0
56,2.22586274916673,2.22586274916673,0
57,2.24210893331141,2.2421089333114,0
58,2.24950653781841,2.2495065378184,0
59,2.24802636772243,2.24802636772245,0
60,2.23767426457862,2.23767426457862,0
61,2.21849108340864,2.21849108340862,0
62,2.19055253146458,2.19055253146462,0
63,2.15396886944718,2.15396886944718,0
64,2.10888447635674,2.10888447635677,0
65,2.05547727969584,2.05547727969586,0
66,1.9939580532702,1.99395805327024,0
67,1.92456958536114,1.92456958536114,0
68,1.84758572055084,1.84758572055085,0
69,1.76331027898314,1.76331027898314,0
70,1.67207585732414,1.67207585732414,0
71,1.57424251615508,1.57424251615507,0
72.0000000000001,1.47019635897773,1.47019635897775,0
73.0000000000001,1.36034800844035,1.36034800844033,0
74.0000000000001,1.24513098579753,1.24513098579753,0
75.0000000000001,1.12500000000001,1.12499999999999,0
76.0000000000001,1.00042915316609,1.00042915316608,0
77.0000000000001,0.871910069517224,0.87191006951722,0
78.0000000000001,0.739949955161809,0.739949955161805,0
79.0000000000001,0.605069596384335,0.605069596384344,0
80.0000000000001,0.467801304339956,0.467801304339948,0
81.0000000000001,0.328686814265418,0.328686814265421,0
82.0000000000001,0.188275147497702,0.188275147497703,0
83.0000000000001,0.0471204447375467,0.047120444737547,0
84.0000000000001,-0.0942202208907068,-0.0942202208907068,0
85.0000000000001,-0.235189042352228,-0.235189042352228,0
86.0000000000001,-0.375229680111234,-0.375229680111238,0
87.0000000000001,-0.513789457748985,-0.513789457748987,0
88.0000000000001,-0.650321543125071,-0.650321543125072,0
89.0000000000001,-0.784287106474097,-0.784287106474093,0
90.0000000000001,-0.915157446920563,-0.915157446920565,0
91.0000000000001,-1.04241607901968,-1.0424160790197,0
92.0000000000001,-1.16556077108955,-1.16556077108955,0
93.0000000000001,-1.28410552728997,-1.28410552728999,0
94.0000000000001,-1.39758250562621,-1.3975825056262,0
95.0000000000001,-1.50554386430744,-1.50554386430745,0
96.0000000000001,-1.6075635291738,-1.60756352917381,0
97.0000000000001,-1.70323887521646,-1.70323887521646,0
98.0000000000001,-1.79219231555444,-1.79219231555443,0
99.0000000000001,-1.87407279159772,-1.87407279159773,0
100,-1.948557158515,-1.94855715851502,0
