"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,-1.948557158515,0,-1.94855715851498
1,-1.87407279159772,0,-1.87407279159772
2,-1.79219231555443,0,-1.79219231555449
3,-1.70323887521645,0,-1.70323887521648
4,-1.6075635291738,0,-1.60756352917384
5,-1.50554386430744,0,-1.50554386430747
6,-1.39758250562621,0,-1.39758250562621
7,-1.28410552728997,0,-1.28410552728998
8,-1.16556077108955,0,-1.16556077108954
9,-1.04241607901968,0,-1.0424160790197
10,-0.915157446920554,0,-0.915157446920562
11,-0.78428710647409,0,-0.784287106474084
12,-0.650321543125062,0,-0.650321543125067
13,-0.513789457748979,0,-0.513789457748993
14,-0.375229680111229,0,-0.37522968011123
15,-0.235189042352222,0,-0.235189042352222
16,-0.0942202208906982,0,-0.0942202208906996
17,0.047120444737554,0,0.0471204447375544
18,0.188275147497709,0,0.18827514749771
19,0.328686814265428,0,0.328686814265427
20,0.467801304339963,0,0.467801304339962
21,0.605069596384343,0,0.605069596384343
22,0.739949955161814,0,0.739949955161817
23,0.871910069517231,0,0.871910069517239
24,1.00042915316609,0,1.0004291531661
25,1.12500000000001,0,1.125
26,1.24513098579753,0,1.24513098579751
27,1.36034800844035,0,1.36034800844033
28,1.47019635897774,0,1.47019635897772
29,1.57424251615508,0,1.57424251615506
30,1.67207585732414,0,1.67207585732412
31,1.76331027898315,0,1.76331027898319
32,1.84758572055084,0,1.84758572055087
33,1.92456958536115,0,1.9245695853612
34,1.99395805327021,0,1.99395805327025
35,2.05547727969585,0,2.05547727969589
36,2.10888447635674,0,2.10888447635676
37,2.15396886944718,0,2.15396886944712
38,2.19055253146459,0,2.19055253146466
39,2.21849108340864,0,2.21849108340866
40,2.23767426457862,0,2.23767426457864
41,2.24802636772243,0,2.24802636772239
42,2.24950653781841,0,2.24950653781845
43,2.24210893331141,0,2.24210893331144
44,2.22586274916673,0,2.22586274916672
45,2.20083210165107,0,2.20083210165108
46,2.16711577529474,0,2.16711577529473
47,2.1248468330343,0,2.12484683303434
48,2.07419209107414,0,2.07419209107411
49,2.01535146053866,0,2.0153514605387
50,1.948557158515,0,1.94855715851498
51,1.87407279159771,0,1.87407279159771
52,1.79219231555443,0,1.79219231555449
53,1.70323887521644,0,1.70323887521648
54,1.6075635291738,0,1.60756352917383
55,1.50554386430744,0,1.50554386430746
56,1.3975825056262,0,1.39758250562621
57,1.28410552728996,0,1.28410552728998
58,1.16556077108954,0,1.16556077108954
59,1.04241607901968,0,1.04241607901969
60,0.915157446920541,0,0.915157446920558
61,0.784287106474082,0,0.784287106474082
62,0.650321543125059,0,0.650321543125059
63,0.513789457748976,0,0.513789457748991
64,0.375229680111222,0,0.37522968011122
65,0.235189042352218,0,0.235189042352217
66,0.0942202208906933,0,0.094220220890694
67,-0.0471204447375577,0,-0.0471204447375579
68,-0.188275147497713,0,-0.188275147497715
69,-0.328686814265434,0,-0.328686814265432
70,-0.467801304339969,0,-0.467801304339966
71,-0.605069596384347,0,-0.605069596384348
72.0000000000001,-0.739949955161816,0,-0.739949955161818
73.0000000000001,-0.871910069517237,0,-0.871910069517248
74.0000000000001,-1.0004291531661,0,-1.00042915316611
75.0000000000001,-1.12500000000001,0,-1.12500000000001
76.0000000000001,-1.24513098579753,0,-1.24513098579751
77.0000000000001,-1.36034800844036,0,-1.36034800844034
78.0000000000001,-1.47019635897774,0,-1.47019635897772
79.0000000000001,-1.57424251615508,0,-1.57424251615507
80.0000000000001,-1.67207585732414,0,-1.67207585732412
81.0000000000001,-1.76331027898315,0,-1.76331027898319
82.0000000000001,-1.84758572055084,0,-1.84758572055087
83.0000000000001,-1.92456958536115,0,-1.9245695853612
84.0000000000001,-1.99395805327021,0,-1.99395805327025
85.0000000000001,-2.05547727969585,0,-2.05547727969589
86.0000000000001,-2.10888447635675,0,-2.10888447635678
87.0000000000001,-2.15396886944719,0,-2.15396886944712
88.0000000000001,-2.19055253146459,0,-2.19055253146466
89.0000000000001,-2.21849108340864,0,-2.21849108340866
90.0000000000001,-2.23767426457862,0,-2.23767426457864
91.0000000000001,-2.24802636772243,0,-2.24802636772239
92.0000000000001,-2.24950653781841,0,-2.24950653781845
93.0000000000001,-2.24210893331141,0,-2.24210893331144
94.0000000000001,-2.22586274916673,0,-2.22586274916672
95.0000000000001,-2.20083210165107,0,-2.20083210165108
96.0000000000001,-2.16711577529474,0,-2.16711577529473
97.0000000000001,-2.1248468330343,0,-2.12484683303434
98.0000000000001,-2.07419209107414,0,-2.07419209107411
99.0000000000001,-2.01535146053866,0,-2.01535146053869
100,-1.948557158515,0,-1.94855715851498
