"Time [ms]","force_virtual.Force_x [newton]","force_virtual.Force_y [newton]"
0,-2.74499390848745E-06,-0.000599819422530154
1,0.000294182912154631,0.120886416618247
2,0.000589959362921719,0.241843218998662
3,0.000883416703268409,0.361794113572189
4,0.00117339619598111,0.480267171893126
5,0.00145875260412283,0.596796850624355
6,0.00173835872282937,0.710925797039315
7,0.00201110984706959,0.822206613977752
8,0.00227592814435357,0.930203577926366
9,0.00253176693646966,1.03449430419734
10,0.00277761485447123,1.13467135348702
11,0.00301249985156282,1.23034377442382
12,0.00323549307601988,1.32113857706601
13,0.00344571255666835,1.40670213259478
14,0.00364232672329315,1.48670149486973
15,0.00382455771178773,1.56082563974521
16,0.0039916844691439,1.62878661847048
17,0.00414304562524654,1.69032062178263
18,0.0042780421328855,1.74518895162121
19,0.00439613966009943,1.79317889773269
20,0.00449687071976022,1.8341045167466
21,0.00457983654092531,1.86780731157837
22,0.00464470865929934,1.89415680936202
23,0.00466796938223787,1.90360407681403
24,0.00471921705974745,1.92441688858935
25,0.00472388769305533,1.92631364916761
26,0.00472155237558539,1.92536527043031
27,0.00470639127646494,1.91920821879493
28,0.00464470865923176,1.89415680936126
29,0.00457983654080515,1.86780731157942
30,0.00449687072054947,1.83410451674776
31,0.0043961396606473,1.79317889773277
32,0.00427804213317748,1.74518895162062
33,0.00414304562504841,1.69032062178332
34,0.00399168446915852,1.6287866184711
35,0.00382455771203167,1.56082563974602
36,0.0036423267230152,1.48670149487084
37,0.00344571255674304,1.40670213259556
38,0.00323549307556134,1.32113857706509
39,0.00301249985253499,1.23034377442442
40,0.00277761485399942,1.13467135348624
41,0.00253176693680582,1.03449430419759
42,0.00227592814419614,0.930203577926523
43,0.00201110984678391,0.82220661397831
44,0.0017383587233407,0.710925797039847
45,0.00145875260391951,0.596796850624059
46,0.00117339619591217,0.480267171893212
47,0.000883416702452873,0.361794113572705
48,0.000589959363129169,0.241843218998868
49,0.000294182912784549,0.120886416619245
50,-2.7449942886001E-06,-0.000599819422503996
51,-0.000299652398770589,-0.12213633571934
52,-0.000595367666274205,-0.243243185917036
53,-0.00088872410818753,-0.363441529528007
54,-0.00117856457801726,-0.482255535683975
55,-0.00146374603075575,-0.599214284097376
56,-0.0017431440222091,-0.713853655355709
57,-0.00201565712730122,-0.825718202594252
58,-0.00228021126863984,-0.934362996521285
59,-0.00253576393445886,-1.03935543578579
60,-0.00278130826523773,-1.14027701464874
61,-0.00301587700571898,-1.23672504006472
62,-0.00323854628860698,-1.32831429034343
63,-0.00344843925375936,-1.41467860775324
64,-0.00364472947924893,-1.49547241765973
65,-0.00382664420939582,-1.57037216700333
66,-0.00399346737969336,-1.63907767529045
67,-0.00414454240749159,-1.70131339157961
68,-0.00427927475763029,-1.75682955137952
69,-0.00439713426419218,-1.80540322776944
70,-0.00449765719437956,-1.8468392716062
71,-0.00458044805893448,-1.88097113610246
72.0000000000001,-0.00464518115320586,-1.90766158170405
73.0000000000001,-0.0046683915517646,-1.91723226575314
74.0000000000001,-0.00471952747091865,-1.93831915776642
75.0000000000001,-0.00472418785801501,-1.94024104605645
76.0000000000001,-0.00472185766518425,-1.9392801003597
77.0000000000001,-0.00470672977195083,-1.9330416136353
78.0000000000001,-0.00464518115276385,-1.90766158170413
79.0000000000001,-0.00458044805942942,-1.88097113610263
80.0000000000001,-0.00449765719435318,-1.84683927160691
81.0000000000001,-0.00439713426418916,-1.80540322776881
82.0000000000001,-0.00427927475782751,-1.75682955137806
83.0000000000001,-0.00414454240697943,-1.70131339157948
84.0000000000001,-0.00399346738003677,-1.63907767529008
85.0000000000001,-0.00382664421014788,-1.5703721670033
86.0000000000001,-0.00364472947988822,-1.49547241766086
87.0000000000001,-0.00344843925356065,-1.41467860775334
88.0000000000001,-0.0032385462886501,-1.32831429034287
89.0000000000001,-0.00301587700520742,-1.23672504006484
90.0000000000001,-0.00278130826520146,-1.1402770146494
91.0000000000001,-0.00253576393392393,-1.03935543578579
92.0000000000001,-0.00228021126886982,-0.934362996521306
93.0000000000001,-0.00201565712719575,-0.825718202593411
94.0000000000001,-0.00174314402267001,-0.713853655355786
95.0000000000001,-0.00146374603120197,-0.599214284097116
96.0000000000001,-0.00117856457789141,-0.482255535683923
97.0000000000001,-0.000888724108286461,-0.363441529528037
98.0000000000001,-0.000595367666342876,-0.243243185917843
99.0000000000001,-0.000299652398406017,-0.122136335718991
100,-2.74499391546513E-06,-0.000599819422172102
