"Time [ms]","InputCurrent(winding_a) [A]","InputCurrent(winding_b) [A]","InputCurrent(winding_c) [A]"
0,-1.12500000000001,-1.12499999999999,2.25
1,-1.24513098579752,-1.00042915316609,2.24556013896361
2,-1.36034800844034,-0.871910069517228,2.23225807795761
3,-1.47019635897773,-0.739949955161817,2.21014631413955
4,-1.57424251615507,-0.605069596384352,2.17931211253943
5,-1.67207585732414,-0.46780130433996,2.13987716166412
6,-1.76331027898313,-0.328686814265426,2.09199709324856
7,-1.84758572055083,-0.18827514749771,2.03586086804854
8,-1.92456958536114,-0.0471204447375546,1.9716900300987
9,-1.99395805327023,0.094220220890699,1.89973783237954
10,-2.05547727969586,0.235189042352217,1.82028823734362
11,-2.10888447635676,0.37522968011123,1.73365479624552
12,-2.15396886944717,0.513789457748972,1.64017941169817
13,-2.1905525314646,0.650321543125066,1.54023098833955
14,-2.21849108340864,0.784287106474082,1.43420397693455
15,-2.23767426457861,0.915157446920559,1.32251681765809
16,-2.24802636772243,1.04241607901969,1.20561028870275
17,-2.2495065378184,1.16556077108954,1.08394576672885
18,-2.24210893331137,1.28410552728996,0.958003406021419
19,-2.22586274916674,1.3975825056262,0.828280243540532
20,-2.20083210165107,1.50554386430744,0.695288237343636
21,-2.16711577529472,1.60756352917381,0.559552246120918
22,-2.12484683303434,1.70323887521644,0.421607957817884
23,-2.07419209107412,1.79219231555444,0.281999775519682
24,-2.01535146053867,1.87407279159772,0.141278668940953
25,-1.948557158515,1.948557158515,-1.30953761980489E-15
26,-1.87407279159773,2.01535146053868,-0.141278668940955
27,-1.79219231555444,2.07419209107413,-0.281999775519685
28,-1.70323887521646,2.12484683303434,-0.421607957817886
29,-1.60756352917381,2.16711577529471,-0.559552246120918
30,-1.50554386430742,2.20083210165108,-0.695288237343639
31,-1.3975825056262,2.22586274916675,-0.828280243540535
32,-1.28410552728996,2.24210893331138,-0.958003406021424
33,-1.16556077108953,2.24950653781842,-1.08394576672886
34,-1.04241607901968,2.24802636772242,-1.20561028870276
35,-0.915157446920551,2.23767426457861,-1.32251681765809
36,-0.784287106474086,2.21849108340864,-1.43420397693455
37,-0.650321543125058,2.19055253146461,-1.54023098833955
38,-0.513789457748972,2.15396886944715,-1.64017941169817
39,-0.375229680111228,2.10888447635674,-1.73365479624552
40,-0.235189042352221,2.05547727969585,-1.82028823734362
41,-0.0942202208906959,1.99395805327023,-1.89973783237955
42,0.0471204447375581,1.92456958536112,-1.9716900300987
43,0.188275147497713,1.84758572055084,-2.03586086804854
44,0.32868681426543,1.76331027898315,-2.09199709324856
45,0.467801304339964,1.67207585732413,-2.13987716166412
46,0.605069596384358,1.57424251615507,-2.17931211253943
47,0.739949955161816,1.47019635897773,-2.21014631413955
48,0.871910069517235,1.36034800844035,-2.23225807795761
49,1.0004291531661,1.24513098579752,-2.24556013896361
50,1.12500000000001,1.12499999999999,-2.25
51,1.24513098579753,1.00042915316608,-2.24556013896361
52,1.36034800844035,0.87191006951722,-2.23225807795761
53,1.47019635897774,0.73994995516181,-2.21014631413955
54,1.57424251615507,0.605069596384344,-2.17931211253943
55,1.67207585732414,0.467801304339954,-2.13987716166412
56,1.76331027898314,0.32868681426542,-2.09199709324856
57,1.84758572055083,0.188275147497706,-2.03586086804854
58,1.92456958536114,0.0471204447375468,-1.97169003009869
59,1.99395805327024,-0.094220220890705,-1.89973783237954
60,2.05547727969586,-0.235189042352225,-1.82028823734361
61,2.10888447635676,-0.375229680111234,-1.73365479624551
62,2.15396886944717,-0.513789457748975,-1.64017941169817
63,2.1905525314646,-0.650321543125068,-1.54023098833955
